smiles,name,d,chemistry
OCCOCCOCCOCCOCCO,PEG_n5,15,PEG
OCCOCCOCCOCCOCCOCCO,PEG_n6,18,PEG
CC(C)CC(C)CC(C)C,polypropylene_n3,9,polypropylene
CC(C)CC(C)CC(C)CC(C)C,polypropylene_n4,12,polypropylene
CC(C)CC(C)CC(C)CC(C)CC(C)C,polypropylene_n5,15,polypropylene
CC(C)CC(C)CC(C)CC(C)CC(C)CC(C)C,polypropylene_n6,18,polypropylene
CC(=O)NCC(=O)NCC(=O)NC,polyglycine_n2,9,polyglycine
CC(=O)NCC(=O)NCC(=O)NCC(=O)NC,polyglycine_n3,12,polyglycine
CC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC,polyglycine_n4,15,polyglycine
CC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC,polyglycine_n5,18,polyglycine
CC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NC,polyalanine_n2,11,polyalanine
CC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NC,polyalanine_n3,15,polyalanine
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NC,polyserine_n2,13,polyserine
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NC,polyserine_n3,18,polyserine
NCCCCCC(=O)NCCCCCC(=O)O,nylon6_n2,14,nylon6
CC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC,Aib_n2,13,Aib
CC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC,Aib_n3,18,Aib
CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)NC,b3homoAla_n2,13,b3homoAla
CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)NC,b3homoAla_n3,18,b3homoAla
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NC,polyserine_n7,38,polyserine
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NC,polyserine_n8,43,polyserine
NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)O,nylon6_n6,42,nylon6
NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)O,nylon6_n7,49,nylon6
NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCCC(=O)O,nylon6_n8,56,nylon6
CC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC,Aib_n7,38,Aib
CC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC,Aib_n8,43,Aib
CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)NC,b3homoAla_n7,38,b3homoAla
CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)N[C@@H](C)CC(=O)NC,b3homoAla_n8,43,b3homoAla
CN1C[C@H]2CC[C@@H](C1)N2C(=O)[C@]34C[C@H]3c5cc(ccc5-c6c(c7ccc(cc7n6C4)C(=O)NS(=O)(=O)N(C)C)C8CCCCC8)OC,m282_d12,12,diverse-weak
CC(=C)c1cccc(c1)C(C)(C)NC(=O)Nc2ccc(c(c2)OC(=O)O)Cl,m283_d12,12,diverse-weak
FC(F)(F)Oc1ccc(cc1)NC(=O)Nc1cccnc1Oc1ccccc1C(C)(C)C,m288_d12,12,diverse-weak
c1cc2c(cc1OCC(=O)N[C@@H](CCCNC(=O)N)C(=O)[O-])oc(=O)c1c2CCC1,m293_d12,12,diverse-weak
CC(=O)OCC(=O)N1CC[C@H](C)[C@H](NC(=O)[C@@H](C)OC2CCCC2)C1,m297_d12,12,diverse-weak
Cc1cnn(-c2c(C(=O)NC[C@@H](C)[C@@H](F)C(=O)O)c(C)nn2C)c1,m299_d12,12,diverse-weak
CCOc1cc(ccc1C2=N[C@H]([C@H](N2C(=O)N3CCN(CC3)CCO)c4ccc(cc4)Br)c5ccc(cc5)Br)OC,m308_d13,13,diverse-weak
Cc1cnc(Cl)nc1c1ccc(cc1)N(C(=O)c1ccc(O)cc1O)Cc1ccc(cc1)CNC(=O)C(F)(F)F,m311_d13,13,diverse-weak
c1(ccc(cc1OCC1CC1)[C@@H](n1ccc(n1)c1cc(ccc1)NC(=O)C)Cc1cc[n+]([O-])cc1)OC(F)F,m312_d13,13,diverse-weak
C[C@@H](C(=O)Nc1cc(c(c(c1)OC)OC)OC)NC(=O)c1ccc2c(c1)c(on2)c1ccccc1,m341_d14,14,diverse-weak
NC(=O)c(nc1c2)cc(OC)c1ccc2NC(=O)c(nc1c2)cc(OC)c1ccc2NC(=O)c(nc1c2)cc(OC)c1ccc2N,m357_d15,15,diverse-weak
O=S(=O)(c1cccc(OC)c1)N(Cc1sccc1)C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(c(c1)O)O,m411_d17,17,diverse-weak
FC(F)(F)C(OB(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F,m275_d12,12,diverse-mod
CC(=O)OC[C@@H](C(=C)C(=O)O[C@@H]1C[C@@H]2[C@@H]([C@@H]3[C@@]1([C@@H](CC[C@@H]3C=O)O)C)OC(=O)C2=C)O,m294_d12,12,diverse-mod
CO[C@@H]1CCN(C(=O)N[C@H]2CC[C@H](OCCC(C)C)CC2)[C@H](CN)C1,m322_d13,13,diverse-mod
C#CC[C@H](CC(=O)OC)NC(=O)N=c1cc(C(C)(C)COC)o[nH]1,m344_d14,14,diverse-mod
Cc1cc(c(c(c1)Cl)OCCOc2ccc(cn2)[C@H]3CCNC[C@@H]3C(=O)N(Cc4cc(ccc4Cl)CNC5CC5)C6CC6)Cl,m359_d15,15,diverse-mod
O=C(OC)[C@]12c3c(c4ccc(c(c4[nH]3)[C@@H]3c4c(c5ccccc5[nH]4)C[C@@H]4N([C@@H]5[C@]6([C@H](C)O6)[C@H](C3)[C@@]4(C(=O)OC)CO5)C)OC)CC[N@@]3[C@H]1[C@@H](CC)C[C@H](C2)[C@H]3CC(=O)C,m375_d16,16,diverse-mod
CC(C)[C@H](C(=O)N[C@H](Cc1c[nH]c2c1cccc2)C(=O)OC)NC(=O)OCc1ccccc1,m391_d16,16,diverse-mod
CCC[C@H](C(=O)Oc1ccc2c(c(c(=O)oc2c1C)Cc1ccccc1)C)NC(=O)OC(C)(C)C,m415_d17,17,diverse-mod
[C@@H]12[C@@H](CCCC1)C[C@H]([N@@H+](C2)C[C@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)O)C(=O)NC(C)(C)C,m438_d18,18,diverse-mod
CC(=CC(=O)N(C)C[C@H](O)CN(C)C(=O)[C@@H]1C[C@H](O)CN1C(N)=O)C(C)(C)C,m474_d19,19,diverse-mod
